SKU,Name,"In stock?","Regular price"
RF24R7201SR/EU,"FRIGORÍFICO FRENCH DOOR SAMSUNG (636L - INOX)",1,
RF48A4000B4/ME,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L)",1,
RF48A4000M9/MA,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L)",1,
RF71A967532/UT,"FRIGORÍFICO PREMIUM 4 PORTAS SAMSUNG (820L - ROSA)",1,
RF71A967578/UT,"FRIGORÍFICO PREMIUM 4 PORTAS SAMSUNG (820L - BRANCO&LAVANDA)",1,
RS62R5005M9,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (655L - CINZENTA)",1,
RS64R5111M9,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (617L - CINZENTA)",1,
RS64R53112A,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (617L - PRETO ESPELHADO)  ",1,
RS64R5311B4,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (635L - PRETO)",1,
RS65R5691M9,"FRIGORÍFICO SIDE BY SIDE SAMSUNG (602L - CINZENTA)",1,
RT43K6341SL/UT,"FRIGORÍFICO TOP FREEZER SAMSUNG (440L)",1,
QA55LS03AAUXLY,"TV SAMSUNG 55"" THE FRAME - 55LS03A",1,2399000
QA65Q60CAKXXA,"TV SAMSUNG 65"" QLED 4K FLAT - Q60C (2023) SA               ",1,1749000
QA65QN90CAKXXA,"TV SAMSUNG 65"" Neo QLED 4K SMART TV FLAT - QN90C 120Hz SA  ",1,3998000
QA75Q60CAKXXA,"TV SAMSUNG 75"" QLED 4K FLAT - Q60C (2023) SA",1,2599000
QA75Q900RBKXLY,"TV SAMSUNG 75"" QLED 8K FLAT - 75Q9     ",1,10450000
QA75QN90CAKXXA,"TV SAMSUNG 75"" Neo QLED 4K SMART TV FLAT - QN90C 120Hz SA",1,5890000
QA85Q60CAKXXA,"TV SAMSUNG 85"" QLED 4K FLAT - Q60C (2023) SA               ",1,4249000
QA85QN900BKXXA,"TV SAMSUNG 85"" Neo QLED 8K SMART TV FLAT - 85QN900BK 120Hz ",1,13980000
QA85QN900CKXXA,"TV SAMSUNG 85"" Neo QLED 8K SMART TV FLAT - QN900C 120Hz SA ",1,13980000
QA85QN90BAKXLY,"TV SAMSUNG 85"" Neo QLED 4K SMART TV FLAT - 85QN90B 120Hz   ",1,7890000
QA85QN90CAKXXA,"TV SAMSUNG 85"" Neo QLED 4K SMART TV FLAT - QN90C 120Hz SA  ",1,7890000
UA32N5000AUXLY,"TV SAMSUNG 32"" FHD - 32N5000",1,259000
UA40N5300AKXLY,"TV SAMSUNG 40"" FHD FLAT - 40N5300",1,499000
UA40N5300AKXXA,"TV SAMSUNG 40"" FHD SMART TV FLAT - 40N5300 SA",1,"499000,00"
UA43AU7000UXLY,"TV SAMSUNG 43"" UHD 4K FLAT - 43AU7000",1,699000
UA43CU7000KXLY,"TV SAMSUNG 43"" UHD 4K FLAT SMART TV - CU7000 (2023)",1,699000
UA50CU7000KXLY,"TV SAMSUNG 50"" UHD 4K FLAT SMART TV - CU7000 (2023)        ",1,749000
UA55CU7000KXXA,"TV SAMSUNG 55"" UHD 4K FLAT SMART TV - CU7000 (2023) SA",1,899000
UA55RU7300KXLY,"TV SAMSUNG 55"" UHD CURVED - 55RU7300",1,949000
UA65CU7000KXXA,"TV SAMSUNG 65"" UHD 4K FLAT SMART TV - CU7000 (2023) SA",1,1299000
UA70AU7000UXLY,"TV SAMSUNG 70"" UHD 4K FLAT - 70AU7000",1,1698000
UA70CU7000KXXA,"TV SAMSUNG 70"" UHD 4K FLAT SMART TV - CU7000 (2023) SA     ",1,1698000
